ExtensibilityAPI_Version,2.0.8.0
TablesWithQueueOption,0
TablesWithColumnsWithPartitionByOption,0
IdentifiedObjectsLoc,26
IdentifiedObjectsLocConversionRate,96.15
ActivityCountOcurrences,0
BTEQLinesCount,0
BTEQFileCount,0
BTEQSizeMB,0
BTEQFilesNotGenerated,0
BTEQLoCConversionRate,0
BTEQCharacterConversionRate,0
BTEQUnrecognizedElements,0
BTEQUnrecognizedElementsLOC,0
BTEQTotalOccurrences,0
BTEQFullyConvertedOccurrences,0
BTEQFilesConversionRate,0
BTEQTotalParsingErrors,0
BTEQTotalConversionErrors,0
BTEQTotalWarnings,0
BTEQTotalCharacters,0
DynamicResultSetsCount,0
ColumnsWithPartitionByOption,0
FastLoadLinesCount,0
FastLoadFileCount,0
FastLoadSizeMB,0
FastLoadFilesNotGenerated,0
FastLoadLoCConversionRate,0
FastLoadCharacterConversionRate,0
FastLoadUnrecognizedElements,0
FastLoadUnrecognizedElementsLOC,0
FastLoadTotalOccurrences,0
FastLoadFullyConvertedOccurrences,0
FastLoadFilesConversionRate,0
FastLoadTotalParsingErrors,0
FastLoadTotalConversionErrors,0
FastLoadTotalWarnings,0
FastLoadTotalCharacters,0
MultiLoadLinesCount,0
MultiLoadFileCount,0
MultiLoadSizeMB,0
MultiLoadFilesNotGenerated,0
MultiLoadLoCConversionRate,0
MultiLoadCharacterConversionRate,0
MultiLoadUnrecognizedElements,0
MultiLoadUnrecognizedElementsLOC,0
MultiLoadTotalOccurrences,0
MultiLoadFullyConvertedOccurrences,0
MultiLoadFilesConversionRate,0
MultiLoadTotalParsingErrors,0
MultiLoadTotalConversionErrors,0
MultiLoadTotalWarnings,0
MultiLoadTotalCharacters,0
TPTLinesCount,0
TPTFileCount,0
TPTSizeMB,0
TPTFilesNotGenerated,0
TPTLoCConversionRate,0
TPTCharacterConversionRate,0
TPTUnrecognizedElements,0
TPTUnrecognizedElementsLOC,0
TPTTotalOccurrences,0
TPTFullyConvertedOccurrences,0
TPTFilesConversionRate,0
TPTTotalParsingErrors,0
TPTTotalConversionErrors,0
TPTTotalWarnings,0
TPTTotalCharacters,0
TPumpLinesCount,0
TPumpFileCount,0
TPumpSizeMB,0
TPumpFilesNotGenerated,0
TPumpLoCConversionRate,0
TPumpCharacterConversionRate,0
TPumpUnrecognizedElements,0
TPumpUnrecognizedElementsLOC,0
TPumpTotalOccurrences,0
TPumpFullyConvertedOccurrences,0
TPumpFilesConversionRate,0
TPumpTotalParsingErrors,0
TPumpTotalConversionErrors,0
TPumpTotalWarnings,0
TPumpTotalCharacters,0
ScriptTotalLoc,0
ScriptTotalParsingErrors,0
ScriptTotalConversionErrors,0
ScriptFilesConversionRate,0
ScriptIdentifiedObjects,0
ScriptObjectConversionRate,0
ScriptLocConversionRate,0
ScriptsUnrecognizedElementsLOC,0
ScriptFileCount,0
ScriptTableObjectConversionRate,0
ScriptTableLoCConversionRate,0
ScriptTableTotalOccurrences,0
ScriptTableFullyConvertedOccurrences,0
ScriptTableTotalWarnings,0
ScriptTableTotalLinesOfCode,0
ScriptTableTotalCharacters,0
ScriptTableTotalParsingErrors,0
ScriptTableTotalConversionErrors,0
ScriptTableCharacterConversionRate,0
ScriptViewObjectConversionRate,0
ScriptViewLoCConversionRate,0
ScriptViewTotalOccurrences,0
ScriptViewFullyConvertedOccurrences,0
ScriptViewTotalLinesOfCode,0
ScriptViewTotalCharacters,0
ScriptViewTotalParsingErrors,0
ScriptViewTotalConversionErrors,0
ScriptViewTotalWarnings,0
ScriptViewCharacterConversionRate,0
ScriptProcedureObjectConversionRate,0
ScriptProcedureLoCConversionRate,0
ScriptProcedureTotalOccurrences,0
ScriptProcedureFullyConvertedOccurrences,0
ScriptProcedureTotalLinesOfCode,0
ScriptProcedureTotalCharacters,0
ScriptProcedureTotalParsingErrors,0
ScriptProcedureTotalConversionErrors,0
ScriptProcedureTotalWarnings,0
ScriptProcedureCharacterConversionRate,0
ScriptFunctionObjectConversionRate,0
ScriptFunctionLoCConversionRate,0
ScriptFunctionTotalOccurrences,0
ScriptFunctionFullyConvertedOccurrences,0
ScriptFunctionTotalLinesOfCode,0
ScriptFunctionTotalCharacters,0
ScriptFunctionTotalParsingErrors,0
ScriptFunctionTotalConversionErrors,0
ScriptFunctionTotalWarnings,0
ScriptFunctionCharacterConversionRate,0
ScriptIndexTotalOccurrences,0
ScriptIndexTotalConversionErrors,0
ScriptIndexTotalParsingErrors,0
ScriptIndexTotalLinesOfCode,0
MacroObjectConversionRate,0
MacroLoCConversionRate,0
MacroTotalOccurrences,0
MacroFullyConvertedOccurrences,0
MacroTotalWarnings,0
MacroTotalLinesOfCode,0
MacroTotalCharacters,0
MacroTotalParsingErrors,0
MacroTotalConversionErrors,0
MacroCharacterConversionRate,0
SqlMacroObjectConversionRate,0
SqlMacroLoCConversionRate,0
SqlMacroTotalOccurrences,0
